account_id,customer_id,credit_limit,account_open_date
1,1,408216,2018-06-03
2,2,1474135,2024-04-04
3,3,1229912,2023-10-11
4,4,480656,2019-01-25
5,5,442076,2022-04-16
6,6,202604,2021-02-27
7,7,932217,2018-05-27
8,8,435070,2021-12-31
9,9,1056874,2021-06-18
10,10,689421,2019-09-01
11,11,885785,2020-02-07
12,12,251160,2024-12-13
13,13,694505,2024-04-13
14,14,112263,2018-01-27
15,15,624967,2020-10-11
16,16,137555,2019-03-07
17,17,1286052,2021-10-21
18,18,622229,2020-06-19
19,19,1076628,2021-04-29
20,20,1499517,2020-07-23
21,21,139906,2024-08-12
22,22,590832,2022-02-11
23,23,1014118,2019-08-14
24,24,1150923,2020-11-30
25,25,1470613,2023-02-15
26,26,388069,2022-07-12
27,27,1126191,2021-04-06
28,28,370571,2019-01-04
29,29,890125,2022-04-27
30,30,1313904,2021-04-17
31,31,120525,2021-03-27
32,32,321009,2020-10-13
33,33,310396,2020-08-23
34,34,283874,2022-06-06
35,35,499921,2018-07-17
36,36,141943,2018-08-04
37,37,74087,2019-05-05
38,38,549993,2023-12-26
39,39,265320,2024-03-24
40,40,685364,2018-02-08
41,41,1356626,2018-04-17
42,42,472225,2019-01-13
43,43,60477,2019-01-07
44,44,96188,2022-07-05
45,45,1064605,2019-10-26
46,46,891818,2024-12-12
47,47,459746,2018-04-04
48,48,1106887,2020-11-17
49,49,1289343,2020-08-17
50,50,308165,2023-10-01
51,51,278554,2023-08-22
52,52,851452,2021-09-19
53,53,1072281,2021-04-27
54,54,992304,2021-11-17
55,55,1222300,2024-04-07
56,56,881789,2023-02-02
57,57,992494,2024-03-19
58,58,1291069,2022-12-26
59,59,341890,2018-04-13
60,60,770503,2021-11-04
61,61,440181,2018-02-26
62,62,439311,2023-03-04
63,63,127351,2023-02-12
64,64,1201158,2024-04-13
65,65,1055992,2018-04-21
66,66,303321,2023-08-01
67,67,1104572,2019-08-08
68,68,761460,2018-06-21
69,69,246161,2019-12-26
70,70,994462,2022-11-10
71,71,1170613,2022-07-03
72,72,1325339,2021-01-09
73,73,1076791,2019-12-19
74,74,361931,2023-07-02
75,75,128771,2021-07-05
76,76,1091397,2024-04-04
77,77,1434840,2020-06-01
78,78,1360125,2024-04-01
79,79,1225140,2023-03-11
80,80,1428623,2019-08-07
81,81,601603,2022-08-27
82,82,848858,2023-10-01
83,83,604134,2022-10-24
84,84,1144911,2021-10-09
85,85,868055,2021-03-13
86,86,570984,2022-03-09
87,87,627688,2020-06-22
88,88,1353271,2021-04-15
89,89,868403,2019-06-12
90,90,592865,2019-06-05
91,91,446649,2023-08-16
92,92,446626,2022-08-19
93,93,465126,2020-07-04
94,94,1272152,2022-08-06
95,95,128218,2023-07-28
96,96,432547,2018-11-28
97,97,347990,2021-07-23
98,98,740957,2021-08-03
99,99,1358906,2023-08-02
100,100,1468832,2018-12-11
101,101,249534,2020-07-18
102,102,239427,2022-04-15
103,103,1456525,2020-11-02
104,104,1465984,2018-10-21
105,105,198776,2024-10-17
106,106,1240308,2023-04-21
107,107,781990,2023-03-12
108,108,991984,2018-08-23
109,109,1407005,2024-01-22
110,110,964327,2023-09-08
111,111,1311287,2020-06-16
112,112,158362,2023-10-28
113,113,762250,2018-06-23
114,114,1216875,2019-08-07
115,115,1481896,2021-04-07
116,116,712330,2024-02-11
117,117,733781,2022-02-15
118,118,473762,2023-10-25
119,119,1339018,2018-08-23
120,120,938514,2019-04-11
121,121,1469550,2022-06-06
122,122,496433,2018-05-09
123,123,840578,2021-03-25
124,124,481044,2019-10-22
125,125,1155873,2018-06-10
126,126,392502,2018-05-08
127,127,626677,2019-05-22
128,128,747943,2020-02-02
129,129,781880,2021-10-21
130,130,836251,2022-11-09
131,131,706997,2018-04-12
132,132,715901,2023-05-27
133,133,325697,2021-02-12
134,134,1159105,2024-11-07
135,135,103857,2022-07-07
136,136,624428,2021-05-18
137,137,903862,2023-07-19
138,138,984549,2018-05-24
139,139,488647,2023-08-31
140,140,789381,2019-12-28
141,141,1005280,2020-09-07
142,142,510019,2021-06-16
143,143,984584,2019-08-13
144,144,788350,2021-09-27
145,145,1423102,2021-04-06
146,146,1226177,2024-11-03
147,147,770759,2018-06-16
148,148,751048,2020-10-11
149,149,1039565,2019-03-24
150,150,529497,2019-12-13
151,151,1016966,2023-02-08
152,152,382106,2020-10-03
153,153,821829,2020-09-20
154,154,924247,2018-06-05
155,155,541468,2023-03-25
156,156,925458,2023-09-23
157,157,1425443,2023-03-23
158,158,1134902,2024-07-28
159,159,177348,2018-02-06
160,160,1181045,2023-07-03
161,161,1492025,2021-10-26
162,162,662187,2020-07-04
163,163,1497797,2023-04-25
164,164,1485650,2022-06-22
165,165,1149531,2023-11-14
166,166,899607,2021-01-21
167,167,1122527,2021-09-27
168,168,683458,2024-09-23
169,169,59737,2021-04-28
170,170,1393592,2022-01-24
171,171,173662,2019-12-26
172,172,1292877,2024-09-30
173,173,1079253,2022-07-31
174,174,1050671,2021-01-16
175,175,1487253,2021-11-25
176,176,1305785,2022-11-11
177,177,1300601,2023-11-06
178,178,328939,2019-05-28
179,179,574705,2018-11-03
180,180,1089672,2020-04-09
181,181,157746,2022-06-23
182,182,679281,2019-08-08
183,183,700230,2023-10-20
184,184,766640,2019-04-03
185,185,58634,2018-06-17
186,186,875408,2023-10-19
187,187,302893,2021-05-23
188,188,870829,2020-07-01
189,189,1162569,2024-10-29
190,190,1273193,2020-11-24
191,191,1176575,2021-07-10
192,192,562870,2024-02-10
193,193,318141,2021-09-15
194,194,927089,2019-07-05
195,195,1356296,2020-02-02
196,196,186802,2024-05-19
197,197,1265325,2018-04-14
198,198,633920,2018-06-07
199,199,1006119,2023-09-05
200,200,652499,2021-08-11
201,201,881774,2019-04-05
202,202,1109759,2023-01-18
203,203,200360,2023-04-06
204,204,435361,2022-05-05
205,205,306809,2019-12-28
206,206,1157708,2020-05-06
207,207,522643,2023-03-14
208,208,697215,2019-11-08
209,209,1131545,2020-10-25
210,210,980475,2023-07-06
211,211,81757,2021-12-06
212,212,1442310,2024-06-28
213,213,1380211,2018-02-16
214,214,460592,2024-06-28
215,215,1109714,2024-05-28
216,216,1338902,2021-11-03
217,217,1123570,2022-11-21
218,218,1071662,2023-07-12
219,219,738488,2022-05-03
220,220,635690,2024-02-01
221,221,1245981,2022-03-16
222,222,129484,2019-07-09
223,223,543914,2021-06-09
224,224,370188,2021-11-06
225,225,1195797,2018-05-23
226,226,463396,2024-06-21
227,227,956594,2022-12-13
228,228,1492538,2019-06-09
229,229,663074,2018-04-19
