customer_id,age,annual_income,occupation,city
1,21,2436514,Salaried,Hyderabad
2,54,2167780,Salaried,Mumbai
3,50,713984,Self-Employed,Chennai
4,23,1414742,Retired,Bengaluru
5,65,849788,Self-Employed,Mumbai
6,31,1607539,Business,Mumbai
7,33,2472194,Self-Employed,Delhi
8,30,2061854,Retired,Kolkata
9,37,466664,Business,Hyderabad
10,29,2499266,Self-Employed,Delhi
11,38,2199567,Student,Mumbai
12,60,802428,Salaried,Delhi
13,43,1807043,Retired,Mumbai
14,66,1304673,Student,Mumbai
15,43,2347169,Student,Delhi
16,34,1030321,Business,Mumbai
17,59,375321,Student,Delhi
18,61,2141151,Business,Delhi
19,63,1758623,Student,Mumbai
20,64,1572204,Business,Hyderabad
21,22,812134,Self-Employed,Chennai
22,46,206095,Business,Kolkata
23,34,1638232,Student,Mumbai
24,33,1822042,Business,Chennai
25,32,982155,Retired,Delhi
26,61,1458396,Student,Bengaluru
27,59,905932,Salaried,Hyderabad
28,31,2084785,Business,Chennai
29,41,304878,Retired,Kolkata
30,57,1822947,Self-Employed,Mumbai
31,28,2254275,Retired,Kolkata
32,51,640013,Salaried,Bengaluru
33,42,212117,Salaried,Bengaluru
34,66,1619395,Business,Bengaluru
35,57,949145,Business,Kolkata
36,32,1214578,Salaried,Hyderabad
37,61,1994031,Retired,Bengaluru
38,60,2303297,Retired,Mumbai
39,31,1732775,Retired,Mumbai
40,46,1209379,Salaried,Kolkata
41,59,1635753,Salaried,Chennai
42,32,1102089,Salaried,Bengaluru
43,32,2289328,Salaried,Kolkata
44,29,1004208,Business,Kolkata
45,21,2139190,Retired,Mumbai
46,45,795417,Retired,Mumbai
47,21,1941883,Self-Employed,Hyderabad
48,49,2316165,Retired,Kolkata
49,41,2468929,Student,Bengaluru
50,30,1183769,Student,Delhi
51,38,1788484,Retired,Chennai
52,21,274456,Salaried,Chennai
53,28,288696,Business,Delhi
54,44,1350507,Self-Employed,Mumbai
55,24,778866,Student,Kolkata
56,56,2338710,Self-Employed,Hyderabad
57,33,1222246,Self-Employed,Delhi
58,66,837482,Business,Kolkata
59,29,1936177,Self-Employed,Chennai
60,51,2411181,Business,Kolkata
61,46,1886031,Business,Delhi
62,65,865954,Retired,Hyderabad
63,51,1215823,Salaried,Mumbai
64,63,545460,Student,Kolkata
65,43,2107110,Salaried,Kolkata
66,31,693163,Salaried,Mumbai
67,30,1266155,Business,Mumbai
68,63,234469,Retired,Chennai
69,30,604107,Self-Employed,Bengaluru
70,56,1520440,Retired,Hyderabad
71,46,2379707,Retired,Bengaluru
72,34,1493701,Salaried,Mumbai
73,41,1664432,Self-Employed,Bengaluru
74,60,1651522,Retired,Chennai
75,43,888749,Salaried,Mumbai
76,63,1961197,Student,Hyderabad
77,67,551909,Business,Chennai
78,35,2186132,Retired,Delhi
79,46,235993,Self-Employed,Delhi
80,46,1493476,Salaried,Chennai
81,47,2077948,Salaried,Hyderabad
82,24,2498387,Self-Employed,Delhi
83,39,375743,Student,Bengaluru
84,49,378681,Business,Bengaluru
85,65,1874646,Self-Employed,Bengaluru
86,32,2198570,Retired,Bengaluru
87,52,1667540,Salaried,Chennai
88,58,2301970,Business,Mumbai
89,66,861063,Business,Bengaluru
90,29,563651,Salaried,Chennai
91,54,833729,Salaried,Kolkata
92,36,534371,Self-Employed,Mumbai
93,42,2250825,Business,Bengaluru
94,21,968206,Self-Employed,Mumbai
95,56,1595981,Self-Employed,Hyderabad
96,22,1187062,Retired,Delhi
97,39,210003,Salaried,Bengaluru
98,45,743420,Self-Employed,Bengaluru
99,53,2018219,Retired,Delhi
100,43,951034,Self-Employed,Hyderabad
101,62,841505,Business,Delhi
102,27,627519,Business,Bengaluru
103,33,1086173,Salaried,Mumbai
104,33,414218,Self-Employed,Kolkata
105,39,2323496,Self-Employed,Kolkata
106,21,1875088,Self-Employed,Mumbai
107,42,1249759,Business,Mumbai
108,39,2411860,Student,Chennai
109,49,614915,Self-Employed,Chennai
110,49,1073794,Self-Employed,Kolkata
111,34,1643800,Student,Hyderabad
112,41,432353,Self-Employed,Hyderabad
113,45,1134294,Self-Employed,Kolkata
114,61,683920,Self-Employed,Hyderabad
115,24,1554004,Self-Employed,Kolkata
