account_id,utilization_ratio,days_past_due,fraud_count,payment_ratio,default_flag
1,0.4835104573960503,120,0,0.8317109133806371,1
2,0.2713377798256971,0,0,1.1039190821601796,0
3,0.22129612185226832,90,0,0.2827408205646398,0
4,0.7356825923456648,0,1,0.6349578711488145,1
5,0.7826225198555303,90,2,0.6169208653608786,0
6,0.9229935886203415,120,0,1.1040181825145825,1
7,0.6574951528944445,30,1,0.3201485915741377,0
8,0.6229392943579097,0,0,0.4557994052951069,0
9,0.7241241494358708,60,0,0.8281382496075548,1
10,0.5580753382627306,30,0,1.0399709798023002,0
11,0.6256740299813174,15,0,0.5122837360320802,0
12,0.09196733324209311,60,0,0.16746463400500494,0
13,0.40358397456498213,90,1,0.7216640321719772,1
14,0.9332964238966864,120,0,0.6281864827767752,1
15,0.4293409707354367,0,0,0.7697652713810087,0
16,0.2558305790715369,0,0,0.7982480310120292,0
17,0.8901067285732197,30,0,0.4541070163638319,0
18,0.9227006565261096,120,2,0.26030926847665814,1
19,0.8520721233136809,30,0,0.4112659366224921,1
20,0.29699292714516984,15,0,0.7243462285870913,1
21,0.42283727885348266,30,0,0.6209492412115761,0
22,0.5390871574965341,60,0,0.7140878145938699,0
23,0.7724117490071704,60,0,0.9395423540480718,1
24,0.9436121173088622,30,1,0.7683495562107273,1
25,0.7326926513457598,15,1,0.24435431942578947,0
26,0.6433962157959185,120,2,0.7425090961320385,1
27,0.8632626346865232,120,1,0.4986742441585019,1
28,0.7103832245752166,30,1,0.5819484913325081,0
29,0.8274444674301421,60,1,0.4794742530269215,1
30,0.8551113467884018,30,0,0.6306123368246058,1
31,0.44530560416706416,120,1,0.13284991242068933,1
32,0.2447880243461939,90,1,0.5341047538233528,0
33,0.5861093138866476,120,0,0.8155410453595052,0
34,0.20395766460160997,30,2,0.2595190542306548,1
35,0.6632663962259335,90,0,0.5712354034091054,0
36,0.37872111214202214,30,0,0.917930213475884,0
37,0.9152214976777789,120,0,1.0380798005157286,1
38,0.3786565884190673,60,3,0.4591371263492624,1
39,0.4326001978725852,60,1,0.5331803927908126,1
40,0.7013040524615926,90,1,0.5169387454878758,1
41,0.10576623075061539,120,0,0.6346293309407738,1
42,0.9701102429757431,0,1,0.12540492049080115,1
43,0.1534882358892058,90,1,0.9014721626155973,1
44,0.5009515966528496,90,0,0.2904804115724932,1
45,0.48372594655025025,120,1,0.8374447255957314,1
46,0.41058999605598845,90,0,0.7164784361599235,1
47,0.6941216495586424,30,0,0.9873825774725123,0
48,0.791576537820115,30,0,0.8894284172245291,0
49,0.2242354147548778,120,0,0.6586749569552584,0
50,0.510216615876521,0,0,0.686868667018801,1
51,0.1495279492976031,60,0,0.5647213163968109,0
52,0.9314272497364281,90,1,0.6965367753530702,1
53,0.4068495751620347,60,1,0.6472369725824604,0
54,0.9069459018989547,30,0,0.33556773235515525,1
55,0.49525241226549577,60,0,0.23590674073756598,1
56,0.3135446345361708,60,0,1.021225761996237,0
57,0.4968275634165274,60,0,0.870839183768852,0
58,0.21015968549456226,0,2,0.414329902222218,1
59,0.9339310236834972,15,0,1.0408593060999178,1
60,0.45365698291834766,120,0,1.0714336614833566,1
61,0.06170842362280962,120,1,0.569283883838802,1
62,0.24622380113676823,120,0,0.16618640567114695,0
63,0.4640657274283197,30,0,0.44590193738662454,0
64,0.9297356646091381,30,0,0.8733908398401514,1
65,0.7223918707598805,15,0,0.8318439641768379,0
66,0.46124070057572364,60,0,1.1421747250108214,0
67,0.49525119656293604,15,1,0.12631953858727596,0
68,0.21803009720872102,120,3,0.13140785274420114,1
69,0.8590729697368634,90,0,0.505820151723465,1
70,0.1731235154131084,15,0,0.8579013064427718,0
71,0.1784413247948926,30,0,0.6670875416042396,0
72,0.9567172139196216,0,0,0.737358350145154,0
73,0.9568057667271762,30,1,1.1010449356809016,0
74,0.5073350843215101,90,0,1.0455717372380982,0
75,0.8443682369183475,30,1,0.7445125647860068,1
76,0.06732179095252191,30,0,0.528679266384187,0
77,0.8329431974477464,60,0,0.3987642825199963,0
78,0.9704876067928512,0,0,0.9141523220913671,0
79,0.29364324263438446,30,0,0.9427390801957605,0
80,0.4340696961305378,0,1,0.7076893128491787,0
81,0.17489667728055522,120,1,0.8895915342543206,1
82,0.9586366684832736,90,2,0.43904971939273674,1
83,0.498558122144854,120,1,0.30637391079341136,1
84,0.4121550125362721,90,0,0.6314003804298397,1
85,0.8614261511827527,15,0,0.5290250089293853,1
86,0.8566803449019851,60,0,0.7081286730520202,0
87,0.4337707031462708,60,1,0.17076831826973143,1
88,0.20376262667846462,15,2,0.508360315736018,1
89,0.467777101989305,30,0,0.15354182014997286,1
90,0.3296636658382225,60,0,0.8366656189088413,0
91,0.7222022806893978,15,0,0.5560748653548809,0
92,0.33057798617287215,15,0,0.21958350328902318,1
93,0.17000670770336318,120,1,0.338399704812176,0
94,0.10131725854250129,30,0,0.42995415566588513,0
95,0.29385545869288265,15,0,1.110479813254861,0
96,0.8213559328933525,0,1,0.10527784236450992,0
97,0.1922373761402214,0,2,0.8002106396785705,0
98,0.20866132220366584,120,1,0.7492078830602956,0
99,0.684446300352027,0,1,0.5477144869310087,0
100,0.44066909445943236,30,2,0.18754238975408422,1
101,0.688576941135882,60,0,0.5467366430139067,1
102,0.9466488895409904,120,0,0.11012460817593939,1
103,0.9360694181736985,30,0,0.28401450172438947,1
104,0.1573822092800476,60,2,0.1565969490134425,1
105,0.9993690956439306,15,1,1.135488654098034,1
106,0.9357286230434867,15,1,0.12439296598528798,1
107,0.770546247272282,30,0,0.9747873119004293,0
108,0.3852918084404148,90,1,0.46873618749398815,0
109,0.16061043778805698,0,0,0.36477211108827334,0
110,0.7826010753798993,60,0,0.6352522857577663,1
111,0.24110007813358364,30,0,0.4742844791149099,1
112,0.46365484708313637,15,1,0.5421696759503218,1
113,0.7042703495893641,60,0,0.5685050632043491,1
114,0.2614010462426056,0,0,0.7933750157834004,0
115,0.892492150258514,60,2,1.058401561581877,1
116,0.20981793466441334,120,0,0.5730185713410315,1
117,0.45797414351614785,120,0,0.23238268274694407,1
118,0.09110627059975338,0,5,0.26919224274037423,1
119,0.8039480976002114,0,1,0.5058638727806415,0
120,0.9839895902400632,120,1,0.7274242863650421,1
121,0.07174660233333022,30,1,0.7072900172485873,0
122,0.7754019085906797,0,1,0.6331629351628703,0
123,0.28895856765545747,30,0,0.19171829380093447,0
124,0.9168106655398971,0,1,0.39915492031796784,1
125,0.294407211299917,15,0,0.9656409919851127,0
126,0.9172733412134496,30,0,1.1947836275662425,1
127,0.9967402898572021,0,0,0.30972174649618545,0
128,0.14344217268195464,120,1,0.2736131277570085,0
129,0.36753194639020903,15,0,0.1954769652922556,0
130,0.6006458839904205,60,1,0.5252324772254254,1
131,0.4233334393320967,120,0,0.424612518433815,1
132,0.8944856230208631,60,0,1.097132701702154,0
133,0.38771051533204026,60,0,0.4032346216826248,0
134,0.9629035919612224,90,0,0.7909316867902597,1
135,0.8363956149664367,120,2,0.9223646118675387,1
136,0.3500064754300863,30,0,1.0786530391302713,1
137,0.799979166076665,120,2,1.1112186378310016,1
138,0.5066944619458359,60,0,0.21108925695584962,1
139,0.7025158124544945,60,1,0.34478255139778885,1
140,0.38570693541521844,0,2,0.541687644929832,1
141,0.7896745168798495,120,0,1.0504690303741193,1
142,0.29620535128767866,15,0,0.4566187723479752,0
143,0.18919817277855022,15,1,1.0100961771437151,1
144,0.2769055163788998,30,0,0.45633707091773035,0
145,0.2214035758405175,90,0,0.41619317831087,0
146,0.45984695211012655,30,1,0.46559325052974454,0
147,0.2698236618740106,120,0,0.5039194770845923,0
148,0.7350393930700879,30,2,1.0572707325197928,1
149,0.16126753716777875,60,0,0.8729972025546908,0
150,0.5145345560138322,90,0,0.957765880763987,0
151,0.9901685174035794,60,0,0.1154462183164189,1
152,0.9276265539059096,60,1,0.4119218090646347,1
153,0.8861773261291062,15,1,0.7107461798931225,1
154,0.9129697856753174,0,0,1.157273432541722,0
155,0.07557356128737158,90,0,0.32084530803367317,1
156,0.472950076863765,120,0,0.867252591537643,1
157,0.839386858954069,15,0,1.0460661061455685,0
158,0.9272695445189695,90,1,0.31337393280373976,1
159,0.9975481503651167,0,0,0.39425065756973443,0
160,0.8108682625479144,120,1,0.36877327530939774,1
161,0.282584347687826,0,2,0.6819384217777099,0
162,0.6047710714260284,90,0,0.4784391984599706,1
163,0.6671128611465608,90,1,0.7073816434528749,1
164,0.17710978879435585,30,0,0.884738954038479,0
165,0.8502767939845486,0,0,0.29251734792266326,0
166,0.4535034200420871,60,0,0.8064098095577328,1
167,0.376829984818421,0,0,0.7191574868943832,0
168,0.5784829181257785,15,0,0.11153699218926877,0
169,0.5341036526565234,15,0,0.5207081458550223,0
170,0.8926165848237081,90,1,0.19997022186317487,1
171,0.8378355818628129,60,3,0.9567602385465509,1
172,0.7582585304954618,120,0,0.6214623765534472,1
173,0.7457192433003486,120,0,0.48531578338514747,1
174,0.8278278156545588,0,0,0.3758681516981298,0
175,0.3886691274104558,30,0,0.7684774968583453,1
176,0.48343408854032405,90,1,0.7743306448310371,1
177,0.6389630219818024,120,1,0.3026922468939972,1
178,0.7221832243453093,30,4,0.34370260506349554,0
179,0.9866784689825178,15,0,0.4265559109649504,1
180,0.9303464901815396,90,0,0.44471948316114485,1
181,0.2247370646939169,120,1,0.4021457798881012,1
182,0.6816780515601562,30,0,1.0907944556812226,0
