alert_id,account_id,fraud_type,status
1,12838,Card Not Present,Open
2,15642,Card Not Present,Open
3,15123,Card Not Present,Open
4,10377,Card Not Present,Open
5,8261,Suspicious Spend,Open
6,6730,Card Not Present,Open
7,18520,Identity Theft,Open
8,15525,Card Not Present,Closed
9,10092,Identity Theft,Open
10,2970,Card Not Present,Closed
11,16056,Suspicious Spend,Open
12,10101,Suspicious Spend,Closed
13,11829,Suspicious Spend,Closed
14,6298,Identity Theft,Closed
15,13573,Card Not Present,Open
16,1088,Card Not Present,Open
17,3366,Card Not Present,Closed
18,12629,Identity Theft,Open
19,18953,Card Not Present,Open
20,11021,Identity Theft,Closed
21,8990,Card Not Present,Closed
22,3893,Identity Theft,Closed
23,7967,Identity Theft,Open
24,13764,Identity Theft,Open
25,1502,Identity Theft,Open
26,11,Suspicious Spend,Open
27,11451,Suspicious Spend,Open
28,727,Card Not Present,Open
29,11677,Identity Theft,Open
30,11557,Card Not Present,Closed
31,19173,Card Not Present,Open
32,17156,Identity Theft,Closed
33,12836,Card Not Present,Open
34,1488,Card Not Present,Closed
35,14251,Suspicious Spend,Open
36,1042,Card Not Present,Closed
37,2364,Card Not Present,Open
38,4259,Identity Theft,Closed
39,10989,Card Not Present,Open
40,16986,Identity Theft,Open
41,5010,Identity Theft,Open
42,66,Suspicious Spend,Open
43,18944,Suspicious Spend,Closed
44,8788,Card Not Present,Closed
45,18054,Card Not Present,Open
46,10004,Identity Theft,Closed
47,5349,Identity Theft,Open
48,1005,Card Not Present,Closed
49,12058,Identity Theft,Closed
50,6829,Identity Theft,Closed
51,17422,Card Not Present,Closed
52,3393,Card Not Present,Closed
53,17165,Card Not Present,Open
54,13624,Identity Theft,Open
55,17698,Suspicious Spend,Closed
56,4356,Card Not Present,Closed
57,3444,Suspicious Spend,Closed
58,12104,Identity Theft,Closed
59,1760,Card Not Present,Closed
60,15548,Card Not Present,Open
61,65,Card Not Present,Open
62,9105,Card Not Present,Open
63,427,Suspicious Spend,Closed
64,18690,Suspicious Spend,Open
65,266,Identity Theft,Open
66,12927,Identity Theft,Closed
67,5874,Suspicious Spend,Open
68,18785,Identity Theft,Open
69,9901,Suspicious Spend,Closed
70,16261,Suspicious Spend,Closed
71,17565,Card Not Present,Closed
72,18133,Identity Theft,Closed
73,18193,Identity Theft,Open
74,19230,Identity Theft,Open
75,4108,Card Not Present,Closed
76,5307,Card Not Present,Open
77,4484,Suspicious Spend,Open
78,2215,Identity Theft,Open
79,5874,Suspicious Spend,Open
80,9752,Identity Theft,Open
81,16688,Card Not Present,Closed
82,16344,Suspicious Spend,Open
83,7054,Suspicious Spend,Open
84,16764,Suspicious Spend,Open
85,16528,Card Not Present,Open
86,19972,Suspicious Spend,Open
87,2703,Suspicious Spend,Open
88,16805,Suspicious Spend,Closed
89,10742,Suspicious Spend,Open
90,16210,Identity Theft,Closed
91,16572,Identity Theft,Open
92,13732,Card Not Present,Open
93,4789,Card Not Present,Open
94,17102,Suspicious Spend,Closed
95,3414,Suspicious Spend,Open
96,5618,Card Not Present,Open
97,8884,Identity Theft,Open
98,8432,Identity Theft,Closed
99,1688,Identity Theft,Open
100,3494,Suspicious Spend,Open
101,10436,Identity Theft,Open
102,18128,Identity Theft,Open
103,8842,Card Not Present,Closed
104,12910,Suspicious Spend,Closed
105,8109,Card Not Present,Closed
106,17494,Card Not Present,Closed
107,11639,Suspicious Spend,Open
108,17847,Suspicious Spend,Open
109,1631,Suspicious Spend,Open
110,235,Identity Theft,Open
111,17930,Suspicious Spend,Closed
112,5011,Card Not Present,Open
113,1594,Suspicious Spend,Closed
114,17800,Card Not Present,Open
115,9738,Identity Theft,Open
116,7914,Suspicious Spend,Open
117,17406,Suspicious Spend,Open
118,12233,Identity Theft,Open
119,3592,Identity Theft,Open
120,6926,Card Not Present,Closed
121,11328,Identity Theft,Open
122,9681,Identity Theft,Closed
123,3208,Identity Theft,Open
124,6998,Suspicious Spend,Closed
125,13979,Identity Theft,Open
126,6725,Card Not Present,Closed
127,13376,Card Not Present,Closed
128,16922,Identity Theft,Closed
129,6577,Suspicious Spend,Closed
130,6837,Card Not Present,Open
131,15516,Identity Theft,Closed
132,10640,Identity Theft,Closed
133,18131,Card Not Present,Closed
134,202,Suspicious Spend,Closed
135,18830,Card Not Present,Closed
136,14675,Suspicious Spend,Open
137,7389,Identity Theft,Open
138,750,Identity Theft,Closed
139,2519,Suspicious Spend,Closed
140,434,Card Not Present,Open
141,2804,Suspicious Spend,Closed
142,19192,Identity Theft,Closed
143,9236,Suspicious Spend,Open
144,9095,Suspicious Spend,Closed
145,687,Suspicious Spend,Open
146,353,Identity Theft,Closed
147,13588,Card Not Present,Open
148,17276,Suspicious Spend,Open
149,18039,Card Not Present,Open
150,9413,Identity Theft,Open
151,3484,Suspicious Spend,Closed
152,9598,Suspicious Spend,Open
153,11841,Identity Theft,Open
154,19168,Suspicious Spend,Open
155,19802,Card Not Present,Open
156,1122,Identity Theft,Closed
157,9983,Suspicious Spend,Open
158,842,Card Not Present,Closed
159,16050,Card Not Present,Closed
160,12644,Suspicious Spend,Open
161,9932,Suspicious Spend,Open
162,11722,Identity Theft,Open
163,3431,Card Not Present,Open
164,8389,Card Not Present,Open
165,7129,Card Not Present,Open
166,8352,Identity Theft,Closed
167,16448,Card Not Present,Closed
168,352,Suspicious Spend,Open
169,4612,Identity Theft,Closed
170,5991,Identity Theft,Closed
171,9279,Identity Theft,Closed
172,9917,Card Not Present,Open
173,228,Identity Theft,Closed
174,10754,Suspicious Spend,Closed
175,15489,Suspicious Spend,Open
176,7747,Identity Theft,Closed
177,3314,Suspicious Spend,Open
178,5667,Card Not Present,Closed
179,13386,Identity Theft,Open
180,11229,Identity Theft,Closed
181,9383,Identity Theft,Open
182,17331,Card Not Present,Open
183,10775,Identity Theft,Open
184,1389,Suspicious Spend,Open
185,19757,Suspicious Spend,Closed
186,15710,Identity Theft,Open
187,9675,Suspicious Spend,Open
188,15594,Card Not Present,Closed
189,19228,Card Not Present,Open
190,12494,Identity Theft,Closed
191,1878,Suspicious Spend,Closed
192,6636,Card Not Present,Closed
193,8866,Suspicious Spend,Closed
194,8897,Identity Theft,Open
195,7079,Card Not Present,Closed
196,8413,Suspicious Spend,Closed
197,15717,Identity Theft,Closed
198,6145,Card Not Present,Closed
199,5915,Identity Theft,Open
200,4627,Card Not Present,Closed
201,5721,Suspicious Spend,Open
202,15094,Identity Theft,Closed
203,18247,Card Not Present,Open
204,19726,Card Not Present,Closed
205,3375,Identity Theft,Open
206,14351,Identity Theft,Closed
207,17690,Identity Theft,Open
208,600,Suspicious Spend,Closed
209,9684,Suspicious Spend,Closed
210,19631,Card Not Present,Closed
211,7986,Suspicious Spend,Closed
212,19043,Identity Theft,Open
213,4522,Card Not Present,Closed
214,2962,Suspicious Spend,Closed
215,16165,Suspicious Spend,Open
216,1431,Suspicious Spend,Closed
217,11594,Card Not Present,Open
