month,inflation_rate,unemployment_rate,repo_rate
2023-01-01,5.86,5.27,6.91
2023-02-01,5.0,5.95,5.7
2023-03-01,6.15,5.88,6.14
2023-04-01,4.45,5.77,6.35
2023-05-01,3.99,6.06,6.32
2023-06-01,6.07,6.69,6.53
2023-07-01,5.77,6.37,6.11
2023-08-01,6.0,5.68,6.4
2023-09-01,6.05,5.88,6.7
2023-10-01,5.12,5.49,6.09
2023-11-01,5.2,5.72,6.53
2023-12-01,4.45,5.83,6.54
2024-01-01,5.95,5.85,6.14
2024-02-01,5.45,6.78,6.38
2024-03-01,4.62,6.52,6.7
2024-04-01,6.06,5.73,6.62
2024-05-01,5.42,6.72,6.6
2024-06-01,4.83,5.08,6.41
2024-07-01,5.68,6.71,6.74
2024-08-01,6.58,5.6,6.76
2024-09-01,6.21,6.62,6.52
2024-10-01,4.27,5.4,7.1
2024-11-01,5.8,5.49,6.57
2024-12-01,4.92,5.01,6.42
2025-01-01,5.61,5.27,5.97
2025-02-01,5.9,6.58,6.24
2025-03-01,5.65,5.69,6.62
2025-04-01,6.3,5.84,6.05
2025-05-01,5.68,5.28,6.77
2025-06-01,6.81,5.37,6.34
2025-07-01,6.55,5.5,6.31
2025-08-01,5.64,5.7,6.35
2025-09-01,6.16,5.66,6.73
2025-10-01,4.83,5.16,6.62
2025-11-01,3.86,6.27,6.92
2025-12-01,5.71,6.04,6.51
