collection_id,account_id,call_attempts,recovery_amount
1,13718,5,27616.27
2,1860,7,32161.41
3,10777,2,39386.82
4,9470,9,13221.3
5,2959,5,20450.06
6,8781,6,23344.72
7,4237,4,6220.45
8,4404,4,26498.19
9,5171,2,5092.85
10,10301,3,14023.02
11,3812,1,3172.17
12,3818,5,31633.64
13,11861,6,35839.56
14,16172,3,16430.87
15,18065,2,9600.23
16,6221,1,39064.26
17,1848,5,33547.46
18,9285,2,36385.07
19,9234,5,19763.06
20,6937,3,22710.57
21,4978,8,24171.95
22,16526,3,7109.27
23,8098,5,24787.65
24,1121,4,27667.08
25,13040,4,43555.07
26,7285,9,37322.47
27,889,5,6371.89
28,4155,8,44184.43
29,8669,9,37110.13
30,2375,1,20187.4
31,2033,2,21943.95
32,1460,1,21912.79
33,9286,6,32332.9
34,6289,3,9527.26
35,13704,1,18609.91
36,18106,2,34025.02
37,12928,5,1307.59
38,17370,5,46505.82
39,17684,5,38108.08
40,1038,3,30996.1
41,9691,3,46364.53
42,4698,7,6702.54
43,3645,4,22857.28
44,10350,4,20667.15
45,11258,5,40764.64
46,3410,9,44967.33
47,4712,6,39809.72
48,18761,8,29040.42
49,9252,6,31512.51
50,19377,8,17488.54
51,3316,5,1779.22
52,8006,1,14399.45
53,15275,8,48110.7
54,15364,2,34036.4
55,11831,1,14778.5
56,15386,8,3775.29
57,9525,7,7779.87
58,535,8,48381.27
59,236,2,10578.46
60,16413,5,40325.99
61,16470,8,1820.42
62,3643,5,30245.53
63,5881,4,32373.94
64,7841,4,27653.96
65,15334,9,33746.31
66,19393,2,25942.25
67,19268,3,39149.94
68,2989,1,7328.59
69,18075,2,27080.47
70,14432,9,47286.09
71,1187,2,7815.93
72,17255,3,10119.85
73,3495,6,23339.02
74,10886,3,14946.57
75,5145,4,40128.02
76,15262,7,41186.33
77,2669,3,49771.87
78,3899,3,37461.1
79,4589,2,34758.96
80,15812,9,14833.86
81,4046,6,14772.83
82,16859,3,6572.52
83,8771,5,29596.56
84,17248,9,32710.06
85,15652,4,37876.9
86,7504,9,29585.75
87,5557,7,27036.04
88,5237,8,6605.57
89,18058,9,35524.72
90,14238,5,19963.75
91,10832,4,37395.09
92,7863,1,39098.24
93,4827,6,7754.6
94,10419,7,45402.76
95,12341,6,21821.16
96,7474,8,28101.79
97,1130,7,12870.44
98,9835,3,18713.67
99,14333,7,16320.05
100,646,4,43388.69
101,3512,4,24514.65
102,2362,4,39009.22
103,15584,6,40588.1
104,15404,1,8551.13
105,19950,2,7216.2
106,5731,7,37249.07
107,2267,6,22907.27
108,14020,6,48039.77
109,19989,4,40197.66
110,15689,9,26814.14
111,3269,5,37533.06
112,5281,6,29780.0
113,18061,4,2487.79
114,14200,5,36132.31
115,18811,8,14475.43
116,78,5,14650.05
117,14500,6,16090.25
118,4040,3,36476.5
119,16453,9,5210.66
120,19249,6,48900.66
121,1578,2,2361.36
122,2225,5,45813.32
123,2678,1,43435.63
124,1581,8,37979.46
125,5475,7,35261.64
126,16454,5,8202.87
127,15832,8,45344.97
128,7273,7,2152.02
129,18944,4,11339.12
130,6328,6,10871.16
131,9827,6,5114.82
132,327,5,15372.79
133,18738,4,17194.78
134,5286,5,32513.74
135,18742,4,7198.06
136,14456,1,46368.1
137,17514,4,22921.9
138,9428,5,13303.68
139,1613,2,29819.45
140,3663,6,33219.93
141,12472,7,13176.85
142,19321,7,14434.98
143,6243,3,27500.46
144,16062,3,47066.22
145,6113,7,47162.33
146,6385,6,29288.35
147,16184,7,23363.61
148,6765,5,15570.51
149,4298,7,36713.94
150,2222,9,42129.05
151,9466,8,16898.31
152,5771,6,49320.92
153,9762,6,21069.53
154,11113,6,36864.36
155,5534,8,19978.13
156,10751,7,40857.66
157,4429,1,47324.89
158,15528,4,14868.45
159,16097,7,49658.91
160,11042,2,25200.48
161,14967,4,35600.88
162,7048,5,13395.02
163,4161,5,31099.9
164,3458,1,21890.46
165,17544,7,16166.78
166,230,9,22479.77
167,4379,7,45428.37
168,19717,6,22749.27
169,16693,5,46851.9
170,14899,9,19931.42
171,11608,3,12368.65
172,19340,1,1641.44
173,9813,5,1016.64
174,10460,8,41705.92
175,18360,4,5684.44
176,9508,3,24184.69
177,4547,1,15932.38
178,15854,6,3438.03
179,11451,3,16068.73
180,3744,8,4689.98
181,4472,8,28978.04
182,4290,6,9957.53
183,16823,7,5647.23
184,3571,4,20631.88
185,9711,2,38451.02
186,2260,4,22614.25
187,6645,2,5197.88
188,2543,5,37890.75
189,9355,3,11288.09
190,19514,4,24502.67
191,17427,1,33270.2
192,12392,9,19828.7
193,12967,2,14909.51
194,15898,5,4433.95
195,4506,6,20833.73
196,8977,7,41731.41
197,12228,1,3923.36
198,5115,4,44605.68
199,12944,6,42366.09
200,16168,3,43626.1
201,17945,2,21647.72
202,11942,3,12504.73
203,4447,5,9556.35
204,7206,9,36147.42
205,8559,4,598.78
206,19279,2,38709.15
207,7100,5,44927.8
208,614,3,6884.87
209,13292,1,19409.8
210,10743,6,12704.08
211,19308,4,1053.26
212,14003,5,49055.55
213,5057,7,1195.53
214,17778,5,9960.33
215,1030,9,39517.1
216,5909,4,608.34
217,9678,2,10252.74
218,12523,3,23182.99
219,15894,7,16373.66
220,8967,4,28358.23
221,8260,4,38578.9
222,18361,1,48916.31
223,3002,6,38068.33
224,12439,8,22841.86
225,9750,8,45795.28
226,12471,3,27981.93
227,19380,6,16890.92
228,8802,6,41420.16
229,15629,1,31844.77
230,1174,2,27383.34
231,16420,5,34245.26
232,9215,5,18644.32
233,16194,1,23828.8
234,14464,8,41696.41
235,6906,2,44142.28
236,17531,1,5023.85
237,1138,2,3078.36
238,16967,3,37693.68
239,8521,3,26583.97
240,15701,2,41652.0
241,6339,4,30062.82
242,13801,5,828.25
243,9306,7,24144.47
244,15650,9,9411.06
245,17876,5,13107.61
246,16396,7,15110.43
247,6346,4,33448.14
248,5316,9,46840.34
249,3519,2,38025.1
250,1568,8,46165.86
251,839,8,46264.4
252,14774,9,12864.97
253,570,2,14978.15
254,3434,9,13383.79
255,4605,8,26203.28
256,889,2,34417.78
257,15696,2,45505.6
258,7856,7,37389.43
259,17626,6,42721.87
260,3766,2,41646.84
261,1261,2,48958.72
262,829,8,31890.32
263,15619,9,31657.99
264,3829,4,36600.68
265,5048,9,34150.71
266,9452,5,16485.13
267,2540,1,2114.98
268,14956,1,6669.65
269,2302,8,28066.13
270,18317,8,911.67
271,1292,9,37141.6
272,12869,8,49473.29
273,13849,1,15144.18
274,8128,2,11968.86
275,12749,8,10746.12
276,15515,1,12712.3
277,12590,4,24563.35
278,17357,9,32715.58
279,17453,4,44663.85
280,9241,1,4012.18
281,11752,8,43332.11
282,18957,8,45455.33
283,3496,8,24257.11
284,19561,1,21914.39
285,13056,4,15207.98
286,16034,3,29774.96
287,5812,1,22789.28
288,19246,1,953.77
289,1339,4,48012.42
290,10551,4,19721.64
291,10915,6,26854.34
292,14156,9,29724.61
293,14955,6,5964.34
294,16439,5,9386.5
295,10388,8,38590.19
296,19410,7,5700.13
297,12397,2,17456.5
298,6381,8,45055.16
299,1860,9,36535.66
300,1440,7,45902.68
301,6490,6,2211.28
302,16961,6,28978.76
303,13690,9,20175.03
304,4162,5,15061.06
305,8610,9,26639.75
306,14587,7,12965.23
307,1191,3,23279.21
308,2346,4,23126.19
309,811,8,46830.34
310,17516,6,23839.69
311,14248,7,36493.87
312,10072,5,30735.23
313,5389,3,676.28
314,3507,2,39822.15
315,19352,9,20327.56
316,13363,9,42725.53
317,1939,7,18395.88
318,9204,6,1924.34
319,3686,6,18424.01
320,13762,8,15763.66
321,19020,5,48933.0
322,7108,6,5551.84
323,1191,3,5985.38
324,8971,2,1050.6
325,2550,6,33512.2
326,17329,9,29721.56
327,11943,8,24410.63
328,15671,2,13504.97
329,19454,9,30198.52
330,788,1,3145.13
331,7077,1,31476.4
332,1655,5,4853.44
333,14871,2,18564.61
334,8069,4,10715.82
335,11664,1,28793.32
336,8650,5,21259.78
337,4413,3,40696.65
338,1093,8,2289.32
339,16953,4,11495.29
340,11398,4,793.97
341,4162,3,45262.96
342,23,6,48813.79
343,8937,2,14096.47
344,7025,1,49262.84
345,13919,2,49353.36
346,16606,8,11401.39
347,13877,8,7993.37
348,3997,1,17090.26
349,269,1,22282.95
350,15390,1,9385.2
351,12822,7,10006.68
352,19067,5,20029.19
353,9819,5,22113.27
354,13833,1,30921.23
355,15833,8,33706.26
356,1344,7,16698.12
357,1759,8,4029.89
358,13936,3,4542.17
359,5534,3,22102.55
360,15065,5,41803.84
361,17848,8,38166.95
362,9052,4,41434.35
363,793,6,14740.05
364,12217,2,41778.26
365,13976,4,3694.36
366,17892,9,47102.81
367,13056,9,21667.47
368,7156,8,35800.3
369,12637,5,46355.8
370,15407,5,2872.59
371,270,6,26050.96
372,5454,8,41322.6
373,16428,7,47312.73
374,17033,9,17264.09
375,1179,6,44649.16
376,3371,4,31977.4
377,5195,8,26164.07
378,656,9,27221.75
379,9623,1,19649.85
380,18398,6,37164.6
381,9447,2,23282.25
382,14660,6,19461.72
383,7743,5,36123.12
384,18375,7,30588.38
385,2254,9,36305.43
386,15725,7,4205.95
387,19350,4,22395.99
